datetime,row,col,latitude,longitude,value
2021-01-02,3,9,11.093532857142858,106.49497991428572,0.33371475
2021-01-02,3,10,11.093532857142858,106.51786657142857,0.32929373
2021-01-02,4,8,11.071047142857143,106.47209325714286,0.3277088
2021-01-02,4,9,11.071047142857143,106.49497991428572,0.3270608
2021-01-02,4,10,11.071047142857143,106.51786657142857,0.3610829
2021-01-02,4,11,11.071047142857143,106.54075322857143,0.39331698
2021-01-02,5,7,11.048561428571428,106.4492066,0.74798536
2021-01-02,5,8,11.048561428571428,106.47209325714286,0.75735474
2021-01-02,5,9,11.048561428571428,106.49497991428572,0.41848192
2021-01-02,5,10,11.048561428571428,106.51786657142857,0.41265264
2021-01-02,5,11,11.048561428571428,106.54075322857143,0.39331698
2021-01-02,6,7,11.026075714285714,106.4492066,0.74732727
2021-01-02,6,8,11.026075714285714,106.47209325714286,0.7544652
2021-01-02,7,13,11.003589999999999,106.58652654285714,1.9986188
2021-01-02,7,14,11.003589999999999,106.6094132,1.9986188
2021-01-02,8,7,10.981104285714286,106.4492066,0.581249
2021-01-02,8,8,10.981104285714286,106.47209325714286,0.58116525
2021-01-02,8,9,10.981104285714286,106.49497991428572,0.3859642
2021-01-02,8,10,10.981104285714286,106.51786657142857,0.37436575
2021-01-02,8,11,10.981104285714286,106.54075322857143,0.97288483
2021-01-02,8,12,10.981104285714286,106.5636398857143,0.27035505
2021-01-02,8,13,10.981104285714286,106.58652654285714,0.43334934
2021-01-02,8,14,10.981104285714286,106.6094132,0.58516747
2021-01-02,8,15,10.981104285714286,106.63229985714285,0.29505238
2021-01-02,9,6,10.958618571428572,106.42631994285715,0.28653896
2021-01-02,9,7,10.958618571428572,106.4492066,0.3724531
2021-01-02,9,8,10.958618571428572,106.47209325714286,0.63208985
2021-01-02,9,9,10.958618571428572,106.49497991428572,0.6448913
2021-01-02,9,10,10.958618571428572,106.51786657142857,0.40670615
2021-01-02,9,11,10.958618571428572,106.54075322857143,0.3496234
2021-01-02,9,12,10.958618571428572,106.5636398857143,0.37953252
2021-01-02,9,13,10.958618571428572,106.58652654285714,0.61101127
2021-01-02,9,14,10.958618571428572,106.6094132,0.46883827
2021-01-02,9,15,10.958618571428572,106.63229985714285,0.26818445
2021-01-02,10,7,10.936132857142857,106.4492066,0.38333625
2021-01-02,10,8,10.936132857142857,106.47209325714286,1.0017934
2021-01-02,10,9,10.936132857142857,106.49497991428572,1.17966
2021-01-02,10,12,10.936132857142857,106.5636398857143,0.6195368
2021-01-02,10,13,10.936132857142857,106.58652654285714,0.6195368
2021-01-02,11,16,10.913647142857142,106.65518651428572,0.60140306
2021-01-02,11,17,10.913647142857142,106.67807317142858,0.5432709
2021-01-02,11,23,10.913647142857142,106.81539311428573,0.2525052
2021-01-02,11,24,10.913647142857142,106.83827977142857,0.20069768
2021-01-02,12,11,10.891161428571428,106.54075322857143,0.4127991
2021-01-02,12,12,10.891161428571428,106.5636398857143,0.53158957
2021-01-02,12,13,10.891161428571428,106.58652654285714,0.57140505
2021-01-02,12,14,10.891161428571428,106.6094132,0.671916
2021-01-02,12,15,10.891161428571428,106.63229985714285,0.8221664
2021-01-02,12,16,10.891161428571428,106.65518651428572,0.6880561
2021-01-02,12,17,10.891161428571428,106.67807317142858,0.53162587
2021-01-02,12,18,10.891161428571428,106.70095982857143,0.7757801
2021-01-02,12,19,10.891161428571428,106.72384648571429,0.7757801
2021-01-02,12,20,10.891161428571428,106.74673314285715,0.29527542
2021-01-02,12,21,10.891161428571428,106.7696198,0.2627002
2021-01-02,12,22,10.891161428571428,106.79250645714286,0.25595242
2021-01-02,12,23,10.891161428571428,106.81539311428573,0.2698046
2021-01-02,12,24,10.891161428571428,106.83827977142857,0.2708946
2021-01-02,13,9,10.868675714285715,106.49497991428572,1.244836
2021-01-02,13,10,10.868675714285715,106.51786657142857,1.3941702
2021-01-02,13,11,10.868675714285715,106.54075322857143,1.4629618
2021-01-02,13,12,10.868675714285715,106.5636398857143,0.4497691
2021-01-02,13,13,10.868675714285715,106.58652654285714,0.7271705
2021-01-02,13,14,10.868675714285715,106.6094132,0.8637044
2021-01-02,13,15,10.868675714285715,106.63229985714285,0.8192898
2021-01-02,13,16,10.868675714285715,106.65518651428572,0.791508
2021-01-02,13,18,10.868675714285715,106.70095982857143,0.7757801
2021-01-02,13,19,10.868675714285715,106.72384648571429,0.7757801
2021-01-02,13,20,10.868675714285715,106.74673314285715,0.40076298
2021-01-02,13,21,10.868675714285715,106.7696198,0.38142288
2021-01-02,13,22,10.868675714285715,106.79250645714286,0.32370302
2021-01-02,13,23,10.868675714285715,106.81539311428573,0.1912707
2021-01-02,13,24,10.868675714285715,106.83827977142857,0.19537047
2021-01-02,14,9,10.84619,106.49497991428572,1.244836
2021-01-02,14,10,10.84619,106.51786657142857,1.8313121
2021-01-02,14,11,10.84619,106.54075322857143,1.5641304
2021-01-02,14,12,10.84619,106.5636398857143,0.85839874
2021-01-02,14,13,10.84619,106.58652654285714,0.7134135
2021-01-02,14,14,10.84619,106.6094132,0.5137946
2021-01-02,14,15,10.84619,106.63229985714285,0.595665
2021-01-02,14,16,10.84619,106.65518651428572,0.4688337
2021-01-02,14,17,10.84619,106.67807317142858,0.29263484
2021-01-02,14,18,10.84619,106.70095982857143,0.7757801
2021-01-02,14,19,10.84619,106.72384648571429,0.7588171
2021-01-02,14,20,10.84619,106.74673314285715,0.37395978
2021-01-02,14,21,10.84619,106.7696198,0.3614331
2021-01-02,14,22,10.84619,106.79250645714286,0.28662422
